agency_name;route_short_name;route_long_name;Type;bus_type;route_id;<-- REMARK;col_7;REMARK -->;route_short_name_1;route_long_name_1;route_id_1
Connexxion;169;Hoofddorp Sportcomplex KWA - Hoofddorp Station;Stadsbus;2;62523;;;;169;Station - Centrum - Toolenburg - Overbos - Spaarne Gasthuis - Sportcomplex KWA;62523
Overal (Connexxion);169;Alkmaar Station - Oudkarspel;Streekbus;1;60791;;;;169;Alkmaar - Broek op Langedijk - Scharwoude - Oudkarspel;60791
Connexxion;171;Aalsmeer - Amsterdam Bijlmer ArenA;Streekbus;1;62548;;;;171;Amsterdam Zuidoost - Ouderkerk aan de Amstel - Amstelveen - Aalsmeer;62548
Connexxion;174;Uithoorn - Amstelveen KLM Hoofdkantoor;Streekbus;1;65615;;;;174;Amstelveen Dorp - Amstelveen Busstation - Amstelveen MiddenStreekbusen - Uithoorn Busstation - Uithoorn Meerwijk;62191
Connexxion;180;Cirkellijn Schiphol [P30 - P30 via Oost & Rijk];Stadsbus;2;66486;Circleline;;Circleline;180;Schiphol: Zuid - Centrum - Noord - Oost - Rijk;62541
Connexxion;181;Cirkellijn Schiphol [Noord - Noord via Rijk&Oost];Stadsbus;2;66485;;;;181;Schiphol: Rijk - Rozenburg - Zuid - Centrum - Noord;62540
Connexxion;185;Schiphol Airport - Justitieel Complex;Stadsbus;2;66387;;;;185;Schiphol: Centrum - Noordwest;62538
Connexxion;186;Schiphol P30 - Amstelveen Busstation via KLM;Streekbus;1;66388;;;;186;Schiphol Centrum - Schiphol Noord - Amsterdamse Bos - Amstelveen;62539
Connexxion;190;Schiphol Knooppunt Noord - P30 via Airport;Stadsbus;2;63651;;;;190;Schiphol: Noord - Centrum - Zuid;62532
Connexxion;191;Schiphol Zuidoost - Schiphol;Stadsbus;2;66483;;;;191;Schiphol: Centrum - Zuid - Rozenburg - Zuidoost;62533
Connexxion;194;Schiphol P30 - Nieuw West via Badhoevedorp;Streekbus;1;66484;;;;194;Schiphol Centrum - Schiphol Noord - Badhoevedorp - Amsterdam Osdorp;62534
Connexxion;195;Schiphol P30 - A'dam Lelylaan via Badhoevedorp;Streekbus;1;66385;;;;195;Schiphol Centrum - Schiphol Noord - Badhoevedorp - Amsterdam Lelylaan;62535
Connexxion;198;Schiphol Rijk - Aalsmeer;Streekbus;1;71409;;;;198;Schiphol Rijk - Aalsmeer;62185
Connexxion;199;Schiphol  P30 - Amstelveen Praam;Streekbus;1;66482;;;;199;Schiphol Centrum - Schiphol Noord - Schiphol Oost - Amsterdamse Bos - Amstelveen Westwijk;62530
Connexxion;202;Blaricum - Amsterdam;;;1490;spitsbus;;;;;
Connexxion;209;Blaricum - Amsterdam;;;62095;spitsbus;;;;;
Connexxion;210;Bussum - Weesp;;;41660;spitsbus;;;;;
GVB;222;Station Sloterdijk - Houthavens;;;67174;spitsbus;;;;;
GVB;231;Station Sloterdijk - Abberdaan;;;494;spitsbus;;;;;
Overal (Connexxion);232;Hoorn Station - Blokker - Wervershoof - Andijk;;;63645;spitsbus;;;232;Hoorn - Zwaag - Wervershoof - Andijk;60804
GVB;240;Amstel.Stat via ScienceP - Muiderp.st viaScienceP;;;67173;spitsbus from 14:30;;;;;
Connexxion;242;Mijdrecht - Amsterdam Station Zuid via Amstelveen;;;62542;spitsbus;;;;;
Connexxion;244;Haarlem Delftplein - Amsterdam Station Zuid;;;66064;spitsbus;;;;;
GVB;245;Oostzanerdijk - Schiphol Zuid;;;21612;spitsbus;;;;;
GVB;246;Borneolaan - Schiphol Zuid;;;21432;spitsbus;;;;;
GVB;247;Bos en Lommerplein - Schiphol Zuid;;;21613;spitsbus;;;;;
GVB;248;Centraal Station - Houthavens;;;60663;spitsbus;;;;;
Overal (Connexxion);250;Middenmeer - Alkmaar Station;;;63685;spitsbus;;;;;
Overal (Connexxion);251;Alkmaar Station - Petten via ECN;;;60835;spitsbus 6:00 - 11:00 en 14:30 - 20:00;;;;;
Connexxion;255;Haarlem Station - Amsterdam Bijlmer ArenA;;;62549;spitsbus from 14:00;;;;;
GVB;265;Amstelstation - Muiderpoortstation;;;67390;spitsbus from 14:00;;;;;
